Regione-Provincia_Autonoma;Mense Scolastiche;Mense Ospedaliere;Mense Pubbliche;Mense Totali
Abruzzo;675;135;70;880
Basilicata;239;16;21;276
Calabria;561;206;36;803
Campania;1869;301;262;2432
Emilia Romagna;3090;990;55;4135
Friuli Venezia Giulia;948;286;28;1262
Lazio;830;83;50;963
Liguria;548;153;336;1037
Lombardia;5326;1831;34;7191
Marche;417;50;122;589
Molise;9;5;4;18
Bolzano;450;84;0;534
Trento;585;17;168;770
Piemonte;3611;1409;636;5656
Puglia;400;105;27;532
Sardegna;631;187;251;1069
Sicilia;926;206;75;1207
Toscana;2701;491;539;3731
Umbria;641;232;35;908
Valle D'Aosta;92;68;21;181
Veneto;2684;620;249;3553
Totale;27233;7475;3019;37727
