RegioneProvinciaAutonoma;NuoveDiagnosi2019;NuoveDiagnosi2020;NuoveDiagnosi2021;MediaNuoveDiagnosiTriennio
Abruzzo;295;272;245;271
Basilicata;275;40;99;138
Calabria;53;-316;140;-41
Campania;1585;222;889;899
Emilia Romagna;240;568;852;553
Friuli Venezia Giulia;24;170;20;71
Lazio;1137;1476;967;1193
Liguria;233;210;229;224
Lombardia;1897;2123;1479;1833
Marche;-147;220;227;100
Molise;25;18;25;23
Bolzano;137;107;132;125
Trento;113;103;125;114
Piemonte;-139;592;0;151
Puglia;743;335;620;566
Sardegna;90;210;-221;26
Sicilia;3238;-178;889;1316
Toscana;493;755;789;679
Umbria;90;114;175;126
Valle D’Aosta;25;22;31;26
Veneto;772;666;870;769
Totale;11179;7729;8582;9163
