RegioneProvinciaAutonoma;Partecipanti2019;Partecipanti2020;Partecipanti2021
Abruzzo;4045;1607;1646
Basilicata;155;118;68
Calabria;345;96;129
Campania;617;208;55
Emilia Romagna;2980;1300;2264
Friuli Venezia Giulia;0;;
Lazio;418;202;95
Liguria;0;78;38
Lombardia;237;107;166
Marche;317;107;83
Molise;220;250;150
Bolzano;86;3;59
Trento;201;127;153
Piemonte;1863;747;978
Puglia;1965;428;951
Sardegna;285;41;27
Sicilia;920;122;198
Toscana;0;;120
Umbria;172;;
Valle D'Aosta;119;34;15
Veneto;2042;208;506
Totale;16987;5783;7701
